time,energy_total,spectral_variance
0.0,2.0851901158193167,1505524286769.4697
0.01,2.0025135052942145,49955.41425328303
0.02,1.9857840624973249,49908.94278790444
0.030000000000000002,1.9618920208731871,49879.49108429596
0.04,1.9267186152471323,49823.05536540149
0.05,1.878819011188043,50137.0065127852
0.060000000000000005,1.8175102470986086,50023.343878442785
0.07,1.7474557293461483,50201.26366925571
0.08,1.6717748505915182,50251.084636388245
0.09000000000000001,1.5934339023608375,50004.884897536045
0.1,1.5167535198057425,50247.488783458364
0.11,1.4413176984642262,50131.002833131
0.12000000000000001,1.3690487924193175,50056.130442017515
0.13,1.300735565517701,50129.74335956591
0.14,1.2362673076924047,50201.42685261488
0.15,1.1754893652259435,50163.49415428302
0.16,1.1182295393040877,49948.09857637
0.17,1.0655307259232434,50195.279758640616
0.18000000000000002,1.0158658604435906,50192.90203678902
0.19,0.9690637888058178,49939.798681158754
0.2,0.9260211615639465,50111.58489474305
0.21000000000000002,0.8854158876755418,50036.34585839714
0.22,0.8475870241611687,50061.03212591911
0.23,0.8123298738461968,50196.2334710047
0.24000000000000002,0.7790149134111751,50126.9169755265
0.25,0.747950044849212,50202.09508994003
0.26,0.718562350979918,50099.72657419395
0.27,0.6911434400436852,50175.24661204486
0.28,0.6651807394068666,50123.53061546526
0.29000000000000004,0.6405836301671036,49946.327620970114
0.3,0.6176221427284049,50000.04529299334
0.31,0.5958465633461039,49971.767787614524
0.32,0.5751854968891784,49866.67673357203
0.33,0.5558917821939856,50045.33911115947
0.34,0.5375669727275708,50178.0126849159
0.35000000000000003,0.5198635393930097,49946.74648025686
0.36000000000000004,0.5033280330751247,50037.70343030805
0.37,0.48760878305831173,50128.057908371855
0.38,0.4723933114042003,49886.377667350105
0.39,0.458181846857153,50004.26172473838
0.4,0.4446604635034916,50158.72238003717
0.41000000000000003,0.4315461124755218,50002.16554685793
0.42000000000000004,0.4190690805143481,49926.16144167557
0.43,0.4071888703799066,49898.83641165843
0.44,0.39587643937996025,49944.540956130106
0.45,0.3851019127843258,50069.1685548081
0.46,0.37462762844187797,49941.179170811054
0.47000000000000003,0.36464920134911666,49909.167963106556
0.48000000000000004,0.35514251976699085,49986.593630013034
0.49000000000000005,0.3458883089056857,49826.982961453774
0.5,0.3372589834617282,50135.06324672366
0.51,0.3286652401985416,49880.554716137325
0.52,0.3206539829358527,50102.71214260635
0.53,0.3128419425168231,50119.33507178262
0.54,0.30522404455497,49935.47291580937
0.55,0.2979618400990095,49902.39381519547
0.56,0.2910384088224702,50025.49373829081
0.5700000000000001,0.2842790232546216,49965.01804408581
0.5800000000000001,0.2778345031551893,50069.630049641586
0.5900000000000001,0.2715383622896401,49997.15430861301
0.6,0.2655355336787454,50100.75923686958
0.61,0.2596676700176137,50038.1772522953
0.62,0.25393156190602595,49814.381926952745
0.63,0.24860152221480217,50125.89776018709
0.64,0.2432496327142729,49938.59809560368
0.65,0.23814736275168422,49945.78195531109
0.66,0.23315355510380795,49804.60419493232
0.67,0.22839326701633691,49867.161962970116
0.68,0.22373168921241812,49791.16073833905
0.6900000000000001,0.21928858054392286,49923.69733602254
0.7000000000000001,0.21493485201740967,49921.78168011256
0.7100000000000001,0.21066869383985853,49789.314523762994
0.7200000000000001,0.2066042745601794,49886.70935955421
0.73,0.2026182201350133,49843.77216769945
0.74,0.1988207667807093,50029.403326003245
0.75,0.1950953487126542,50095.32920950304
0.76,0.1914405402378593,50043.25254992398
0.77,0.1878550365919395,49876.54558789955
0.78,0.18443982943781875,49943.79714507304
0.79,0.18108750453557804,49901.85755949616
0.8,0.17789552949677592,50099.06747392936
0.81,0.1746633783418578,49841.34263235598
0.8200000000000001,0.17158579514924518,49827.61739057481
0.8300000000000001,0.16865648060227603,50058.24765782096
0.8400000000000001,0.16568588294493167,49843.07933855845
0.8500000000000001,0.16285845235277355,49877.53588177604
0.86,0.16007964545020406,49813.97202204288
0.87,0.1574361159601415,50005.64984319039
0.88,0.15475076286825257,49755.20709137412
0.89,0.1521959651206119,49761.271533554405
0.9,0.14976659900719277,50023.82718671514
0.91,0.1472948474790398,49853.07770419894
0.92,0.14494446625967453,49942.76216479538
0.93,0.14263192518712525,49947.76235727362
0.9400000000000001,0.14035661039669542,49869.647117674336
0.9500000000000001,0.1381943801530236,50057.11495488605
0.9600000000000001,0.13599040918543612,49815.73411156576
0.9700000000000001,0.13389597032136832,49843.10956260448
0.9800000000000001,0.13183401597906563,49792.24822597197
0.9900000000000001,0.12987590042570982,50012.24678688838
1.0,0.1278763445355232,49809.688892994935
1.01,0.12597752690422115,49881.71849080632
1.02,0.12410687907857496,49876.11658034152
1.03,0.12226444470924328,49804.16988465958
1.04,0.12051617059979938,50008.639811069
1.05,0.11872734432693498,49794.11736021424
1.06,0.11702996652606842,49859.55066091202
1.07,0.11535704762562449,49858.1637237991
1.08,0.1137081349999117,49788.82221133316
1.09,0.11214499980673803,50004.023855797226
1.1,0.1105423344842202,49805.478835109585
1.11,0.1090229366095923,49891.01400872572
1.12,0.10752465417357873,49916.65275302135
1.1300000000000001,0.10604695488121624,49876.96154755338
1.1400000000000001,0.10458974162200821,49778.375969634246
1.1500000000000001,0.10320967873747164,49967.8630682713
1.1600000000000001,0.1017916721893057,49750.04275182281
1.1700000000000002,0.10044870015393134,49821.21361857773
